Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,Dunnhumby,2-5 Yrs,Gurugram,4.0,Not disclosed
Data Analyst,Max Healthcare,5-9 Yrs,Gurgaon/Gurugram,4.1,Not disclosed
Data Analyst,Varuna Integrated Logistics,3-8 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,Adobe,5-10 Yrs,Noida,3.9,Not disclosed
Data Analyst,Capco,4-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,Capco,8-12 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,,4-8 Yrs,Hybrid - Gurugram(Sector-24 Gurgaon +2),,Not disclosed
Data Analyst,UKG,5-9 Yrs,Noida,3.1,Not disclosed
Data Analyst,FCS Software Solutions,7-12 Yrs,Remote,3.6,Not disclosed
Data Analyst,,5-7 Yrs,New Delhi,,Not disclosed
Data Analyst,AUM Dacro Coatings,,Gurugram(sector 58 Gurgaon),3.9,"20,000/month"
Data Analyst,,,Remote,,Unpaid
Data Analyst,,0-2 Yrs,Noida,,4.5-5 Lacs PA
Data Analyst,,0-2 Yrs,Gurugram,,Not disclosed
Data Analyst,Ecom Express,3-5 Yrs,Gurugram,3.9,Not disclosed
Data Analyst,Eurofins Assurance,2-5 Yrs,Faridabad,3.4,Not disclosed
Data Analyst,Photon,2-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.0,Not disclosed
Data Analyst,Orange Business Services,5-10 Yrs,Hybrid - Gurugram,4.3,18-22.5 Lacs PA
Data Analyst,Macmillan Publishers India Pvt Ltd.,7-9 Yrs,"Noida, Bengaluru",3.7,25-30 Lacs PA
Data Analyst,GreyOrange,3-5 Yrs,Gurugram,3.2,Not disclosed
