Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Bobble App,2-7 Yrs,"New Delhi, Bangalore",3.5,Not Disclosed,2.0,7.0,,
Data Analyst,RSM India,3-8 Yrs,"New Delhi, Bangalore",3.4,Not Disclosed,3.0,8.0,,
Data Analyst,Luminar Technologies,8-13 Yrs,"New Delhi, Pune, Bangalore",2.5,Not Disclosed,8.0,13.0,,
Data Analyst,Boston Consulting Group,6-8 Yrs,New Delhi,3.8,Not Disclosed,6.0,8.0,,
Data Analyst,Axa Xl,3-6 Yrs,"New Delhi, Bangalore",3.8,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,5-7 Yrs,New Delhi,Not Rated,Not Disclosed,5.0,7.0,,
Data Analyst,Confidential,4-8 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,4.0,8.0,,
Data Analyst,AMERICAN EXPRESS,0-3 Yrs,New Delhi,4.2,Not Disclosed,0.0,3.0,,
Data Analyst,AMERICAN EXPRESS,0-3 Yrs,New Delhi,4.2,Not Disclosed,0.0,3.0,,
data analyst / data analytics-- US MNC (Analytics),Confidential,3-7 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,3.0,7.0,15.0,30.0
Data Analyst,Confidential,0-3 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,3.0,,
Data Analyst,S&P Global Inc.,2-5 Yrs,New Delhi,4.1,Not Disclosed,2.0,5.0,,
Lead data analyst / data analytics-- US MNC (Analytics),Confidential,4-9 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,4.0,9.0,20.0,35.0
Data Analyst,Confidential,4-7 Yrs,New Delhi,Not Rated,Disclosed,4.0,7.0,10.0,20.0
Data Analyst,CashKaro.com,2-4 Yrs,New Delhi,3.7,Not Disclosed,2.0,4.0,,
Data Analyst,Shalimar Group,5-10 Yrs,Remote,3.8,Disclosed,5.0,10.0,15.0,30.0
